relative_path,extension,size_mb,pages_or_slides,classification,recommended_use,risk_or_action,extraction_status,extracted_chars,sha256
2.售前招投标与证明相关材料/1.解决方案材料/DataInfra 2025 产品方案_20250317.pptx,.pptx,9.63,6,B-首版条件入库,仅用于 Data Infra/TDC 联动场景，不能作为 TDH 单产品事实源,只有命中对应场景时参与检索,ok,2627,99977a9459846be4f3d6786067bc1a7a2c4c10a073cbb5b38f64df51fa364303
2.售前招投标与证明相关材料/1.解决方案材料/实时数仓（增量计算）/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,80,63a422c973aac9245df929ed9c06d0abea99005e728a96b408f1f62924ad0d92
2.售前招投标与证明相关材料/1.解决方案材料/实时数仓（增量计算）/基于增量计算的实时湖仓集一体大数据平台_0115.pptx,.pptx,25.41,24,B-首版条件入库,仅用于实时数仓专项；必须保留 ArgoDB 与 TDH 的产品边界,只有命中对应场景时参与检索,ok,12956,3fd9e7b4cd7b8ddfc08f7459919c29bb4b7fb33d81abc30077865275c1ebc24e
2.售前招投标与证明相关材料/1.解决方案材料/星环湖仓集一体架构20250805.pptx,.pptx,12.42,20,A-首版核心入库,用于湖仓集一体场景与架构；按段标注 TDH、TDC、ArgoDB 产品边界,按章节切分并保留来源、版本、密级,ok,7607,f6fea53aa998d049dac4a827d12fc20f67cd644ca29846afeb65368cef331a76
2.售前招投标与证明相关材料/POC/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,64,7b6c2abb4d75334afb27640ed90581ae06bfa3043eade30cb951ee2273cb3da0
2.售前招投标与证明相关材料/POC/TDH标准测试案例202502-TDH9.3（更新中）.docx,.docx,0.13,,C-测试资料库,用于生成验收题和 POC 检查项，不直接作为销售答案事实源,文件标注“更新中”且基于 TDH 9.3,ok,33614,f4bb83fa060e0fe278244a9a423b8f0db8806a1a61bfe3d384b9163708df1aa7
2.售前招投标与证明相关材料/TDH&ArgoDB license功能点.xlsx,.xlsx,0.02,,A-首版核心入库,用于功能点到 TDH Edition/ArgoDB 的精确映射；入库前修正别名和拼写,按章节切分并保留来源、版本、密级,ok,58,aab618fc9a57ba8cf6bea67935d9cc17bc35d005458333ca6a22981b0a12cbd3
2.售前招投标与证明相关材料/兼容性认证/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,66,5a39acef2254d91df41b579efdbe1fbb36485f7ab8d8735ba50723231dc7b928
2.售前招投标与证明相关材料/兼容性认证/0.仅供参考，公司资质材料目录更全/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,84,b47f4fbf001181c117737fca4736c52d086f48922b466d1ba7f4aa6c9d1175b9
2.售前招投标与证明相关材料/兼容性认证/KUNPENG NATIVE 证书/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,84,af376d32972e133bc7b98507e334a25439c3a763c51facc39e53d4cc2b784567
2.售前招投标与证明相关材料/兼容性认证/KUNPENG NATIVE 证书/K202407H0313_星环信息科技（上海）股份有限公司_全国化数仓平台方案(1).pdf,.pdf,0.98,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,1065,e5eb1aeaf5022afb8a27e53756bc90d2cd41cbdd997caaa4483d60df1f2867c1
2.售前招投标与证明相关材料/兼容性认证/KUNPENG NATIVE 证书/K202407H0314_星环信息科技（上海）股份有限公司_星环宽表数据库鲲鹏一体化平台方案(1).pdf,.pdf,0.98,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,1063,9a329a1b68cf32cef4d0541e28167b435d3b5f10ee684e30be417948649f3e82
2.售前招投标与证明相关材料/兼容性认证/KUNPENG NATIVE 证书/K202407H0315_星环信息科技（上海）股份有限公司_星环图数据库鲲鹏平台一体化方案(1).pdf,.pdf,0.98,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,1067,c6c0fd0af391773382c2ec90fed569b18ca7d3f43bf97f7b00dea2b2d62c473c
2.售前招投标与证明相关材料/兼容性认证/KUNPENG NATIVE 证书/K202601H0160_星环信息科技（上海）股份有限公司_星环TDH大数据基础平台鲲鹏920x原生开发方案.pdf,.pdf,0.96,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,1080,6fbd213939925cdaa5f80774f2e740279320fb74b8353367d1a1757965d8b414
2.售前招投标与证明相关材料/兼容性认证/云平台/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,70,63a7ac76c6274179d03c00c76499ccca016798337340f552626189420f7a4b34
2.售前招投标与证明相关材料/兼容性认证/云平台/TDH6.0－华为云Stack8.0（鲲鹏）－认证.pdf,.pdf,0.33,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,829,6661d44c935eabba36f87543f4226f7a65c0bbe52316a80a7f2516d5bfd0fb5f
2.售前招投标与证明相关材料/兼容性认证/云平台/TDH6.0－华为云鲲鹏云－认证.pdf,.pdf,0.33,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,821,938f76b8ab6738225f444285e2971541dc2e7663c77c177fddce60f23c0f68f8
2.售前招投标与证明相关材料/兼容性认证/云平台/TDH－EasyStack ECS云平台－认证.pdf.pdf,.pdf,0.22,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,9888d974a60d59aff30f8f6684d75fab9735c1e398c4b6217a1fc45f4cd4bb93
2.售前招投标与证明相关材料/兼容性认证/云平台/TDH－上海仪电i-stack云操作系统－认证.pdf,.pdf,0.26,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,6659350b06a922110d68f2acb6360391106cba54cb3343fa6756775250eacbf4
2.售前招投标与证明相关材料/兼容性认证/云平台/TDH－无锡华云数据云平台CloudUltra－认证.pdf,.pdf,0.29,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,8799c6eaf3e3dd8afc37a19a54482c8666c7e2ff9f4f7ee71ae61c7221fafd3b
2.售前招投标与证明相关材料/兼容性认证/存储/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,69,e31249fc87c779892b8c70e31f080701b295ddf8ee3d8e21cbb758d2198dcf1a
2.售前招投标与证明相关材料/兼容性认证/存储/TDH6.0－华为FusionStorage8.0－认证A.pdf,.pdf,1.54,4,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,3055,d26fe5922521a5e71b388bc691f2f80ba6f5afeb0fa2856964afd94fc7aebc92
2.售前招投标与证明相关材料/兼容性认证/存储/TDH6.0－华为FusionStorage8.0－认证B.pdf,.pdf,0.28,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,8386724cca92bc6d1093cccaa60dc03ecd33d9b0a70a2d538f0351005828ef7b
2.售前招投标与证明相关材料/兼容性认证/存储/TDH6.0－深信服EDS3.0－认证.pdf,.pdf,0.24,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,b7d33809e11ed848dd3b01424b888525d5228e7e45bb190bd8d221ac5cd2a08b
2.售前招投标与证明相关材料/兼容性认证/存储/TDH－星辰天合XEOS4.0－认证.pdf,.pdf,0.15,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,1f2e062ec5b50e381ebd29bdb5d882fe05dd3e736220b406f87be019a64fee38
2.售前招投标与证明相关材料/兼容性认证/应用/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,69,873e39b63c60c0be9090d4ff6f697ff7ed9d548748989d7139bd703793db1bbf
2.售前招投标与证明相关材料/兼容性认证/应用/TDH5.2－美创数据脱敏系统3.0－认证.pdf,.pdf,0.17,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,ca273f1f8fbcf6620497ec53c1afde71c528340fc812d1309944aa45928da4e3
2.售前招投标与证明相关材料/兼容性认证/应用/TDH6.0－易捷行云ECS－认证.pdf,.pdf,0.38,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,6564fda3c2333ed2d51bb750433da78e8894bb39c86f28fcbcd68a4b7d4985f7
2.售前招投标与证明相关材料/兼容性认证/应用/TDH6.0－确信信息系列商用密码产品－认证.pdf,.pdf,0.28,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,9c952fc4420cfc9cc8319cb9e92caac3892dbf6665250c0d77574c74be63b811
2.售前招投标与证明相关材料/兼容性认证/应用/TDH6.1－鸿数科技ApusDPS3.0－认证.pdf,.pdf,0.31,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,1e0fa2e5e474ebc8d96325a43a36db5d60cf6a4e591b95095bd551108a321410
2.售前招投标与证明相关材料/兼容性认证/应用/TDH－佰聆数据、聆析、聆鉴－认证.pdf,.pdf,0.23,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,2618a521de70054364ec93c22ec392bdde47757bb181992e633d3b9e629a5855
2.售前招投标与证明相关材料/兼容性认证/应用/TDH－君智DeepInsight平台－认证.pdf,.pdf,0.25,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,bca5277badb2788c94a4584ef998e85fde67472eced9e0419b87ce23026c913c
2.售前招投标与证明相关材料/兼容性认证/应用/TDH－帆软FinBI－认证.pdf,.pdf,0.28,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,525da358775ba8cf90b6b7a7d29eb16a338461807bfb60fb6f9588346da0df49
2.售前招投标与证明相关材料/兼容性认证/应用/TDH－帆软FineReportV10.0.1－认证.pdf,.pdf,0.22,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,b103feb0619bb9f299a01d756379285b8902d9a91bc304ef0b6f54e4a438cbff
2.售前招投标与证明相关材料/兼容性认证/应用/TDH－深信服超融合平台－认证.pdf,.pdf,0.25,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,d9df628ba584667d0d850e9d01edd143b995a0c191cbe190787f22e6cc0d1408
2.售前招投标与证明相关材料/兼容性认证/操作系统/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,71,6e1b875d9616ba15bcebdf8826cd694decb9a5258fc59ca2e9034f3837df87f6
2.售前招投标与证明相关材料/兼容性认证/操作系统/TDH 4.5.2－中标麒麟操作系统 6.0－测试报告.pdf,.pdf,1.16,8,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,160,0bc2a412f370866bd888c1e99d922510e157e2156f4c2cc47f360de22c85a246
2.售前招投标与证明相关材料/兼容性认证/操作系统/TDH 4.5.2－中标麒麟操作系统 6.0－认证.jpg,.jpg,0.56,,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,35,ea52fcc8c848e68319c93cb1119279c1f76f4c7a58c7ba6453f1b172a885ffef
2.售前招投标与证明相关材料/兼容性认证/操作系统/TDH 4.6.4－红旗服务器操作系统 4.0－认证.jpg,.jpg,0.19,,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,35,ce8f973719ed7ecefa421bc0793cb85e9c90e35bbdace5766dcb4c04553d2bd9
2.售前招投标与证明相关材料/兼容性认证/操作系统/TDH 7.0－中标麒麟操作系统 V7－认证.pdf,.pdf,0.25,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,560f1d623167256eb4d90fcaf98ef0d5792dd0b032d4b07fc01eeedd96f14722
2.售前招投标与证明相关材料/兼容性认证/操作系统/TDH 7.0－银河麒麟操作系统 V10－认证.pdf,.pdf,0.21,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,6fd1658da90562054dabcc9251df9a6770e80e4b50eb8494d71f8a500a4ab2e7
2.售前招投标与证明相关材料/兼容性认证/操作系统/成都申威互认证证书.pdf,.pdf,0.24,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,90a7f34b3216874b00306358634b2d90aa7ad88216918fe5fdc9c491195caf6a
2.售前招投标与证明相关材料/兼容性认证/硬件/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,69,ecca9bf8c49c43af112c4ae2c0204cb69382849ae4b61c45149188b2c3086eba
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.1－天津飞腾服务器－认证.pdf,.pdf,6.48,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,1d06f999ec654a243036eae8f08fcbbffe47bced24a5fce5a6641c19873f454d
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.1－长城飞腾服务器－认证.pdf,.pdf,0.29,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,719515d3bd40ef2813bd42b3e79fc79e2b9e17013354f6de702143a4524f73e6
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.2－华为泰山100－认证.pdf,.pdf,2.18,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,764,07d14f0401ecf9fee28b3baf2ddc11d58bf4d7133b52d00713da5bd21ce56925
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.2－华为泰山200－认证.pdf,.pdf,1.85,4,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,3074,33a96be3a5d8cfcacbde9ba0e22941b756a4ced7ed905f25b7ffd566544e2882
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.2－湘江鲲鹏－认证.pdf,.pdf,0.29,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,40,4fff438fd1afcf3d8f6fc9734dce14f1f528c9d5fb39238e3a20720e3416b957
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.2－长城飞腾服务器－认证.pdf,.pdf,0.27,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,9c8e3845c6f2bb61eea3078ef6d26cc15900a23e0a77c09a560a3eabc66ca2a8
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH6.2－长虹天宫服务器－认证.pdf,.pdf,0.27,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,76e69068663bbaf4a84bc3e53cd939806540b7f3c2b52c49d8a929f6f14f3722
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH7.0－华为鲲鹏920－认证.pdf,.pdf,1.81,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,827,90fa6a64f937cb8f3c42cc10843b00c92d64d55985c791ba8af550f520d2a457
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH7.0－长城飞腾服务器－认证.pdf,.pdf,0.28,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,bc81639d25ae9bc8d85ef9c9163bf48f0ea48144cf1ef7dc9cd4db0e38969fb6
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH－宝德自强系列服务器－认证.pdf,.pdf,0.82,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,40,518497516caf755bc02066533ca0d76ec37e60bc313785069f0dfecd007be671
2.售前招投标与证明相关材料/兼容性认证/硬件/TDH－长城信安飞腾服务器－认证.pdf,.pdf,0.28,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,b62c556f452368236399f1ec5720fa25c0e6977893c39cb676281290d5f166f5
2.售前招投标与证明相关材料/兼容性认证/硬件/华为FusionCube 1000 （虚拟化）-认证.pdf,.pdf,0.40,2,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,823,cd15dacdc16781c360e1fabba4fd7ca455d43114036e1f0359ee51b4dd56c8be
2.售前招投标与证明相关材料/兼容性认证/硬件/成都申威互认证证书.pdf,.pdf,0.24,1,E-排除首版,与操作系统目录中的同名文件 SHA-256 完全一致，仅保留一份,重复或旧版,ok,20,90a7f34b3216874b00306358634b2d90aa7ad88216918fe5fdc9c491195caf6a
2.售前招投标与证明相关材料/兼容性认证/硬件/星环-中科可控-产品兼容性互认证明.pdf,.pdf,0.39,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,706ddee3d604e744e60f7a0505bd7b2639a51b34614f97d4c25c0998921df6b9
2.售前招投标与证明相关材料/兼容性认证/硬件/星环-中科曙光-产品兼容性互认证明(1).pdf,.pdf,0.39,1,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,20,eb5a8fc9be47dc2cc62928b69a03b2250c3dc64dae7306081340c03b68eceff1
2.售前招投标与证明相关材料/兼容性认证/硬件/龙芯@星环适配认证报告（包括：TDH、ArgoDB、StellarDB）.pdf,.pdf,0.88,3,C-独立证据库,仅回答特定软硬件、操作系统、云平台或应用的兼容性证明问题,多数对应 TDH 4.x～7.x；回答前必须核验产品版本和证书有效性,ok,60,4db7adec380fc7abc4c1e114190e9c0b97f86af94efd2b8b28b21596387a783e
2.售前招投标与证明相关材料/性能/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,63,85a4a518816f77acf4cbecc6d290bbffc9baf0ca7a582d8f526cc80a0edc6a62
2.售前招投标与证明相关材料/性能/8.TPC-DS性能测试（100节点100TB）-星环极速大数据平台软件[简称：Transwarp Data Hub] V5.0.pdf,.pdf,7.36,41,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,11141,d338fab158d20713b951557cbea4b6b6d6cfda64e57106708f746e48b7db3129
2.售前招投标与证明相关材料/控标参数20250717.xlsx,.xlsx,0.02,,B-首版条件入库,只取 A:L 的自有产品能力列并进入受控库；竞品列和控标话术不进入通用回答,只有命中对应场景时参与检索,ok,58,266ac55175414f2159603b7508d1fe7ce9497beb443030f579ee8cc4d10ae6f2
2.售前招投标与证明相关材料/软件安全与代码自主率/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,71,0845a639d61bff5bac7ae3f77c80155d614b914dab652c96b6ec586b10005d1f
2.售前招投标与证明相关材料/软件安全与代码自主率/ArgoDB.pdf,.pdf,1.48,12,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,243,c90f50e554b746efd68e28f3332dd5208cac53ac0db3c5d428f67d893f8487b5
2.售前招投标与证明相关材料/软件安全与代码自主率/ArgoDB2.0－开源安全检测报告－棱镜七彩.pdf,.pdf,0.60,12,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,4630,d2b8dc3479676328c804bdc42977fc0fe09323a691e59a501cf59d5872e08b4c
2.售前招投标与证明相关材料/软件安全与代码自主率/Inceptor.pdf,.pdf,1.46,12,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,243,2509173a9a8d0d994857fc658785e2c13a1f232df00d0cc5679e49d41af9f4e2
2.售前招投标与证明相关材料/软件安全与代码自主率/TDH-代码检测报告-棱镜七彩.pdf,.pdf,0.46,11,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,3957,c4274534e9d15882728ecfd5de477b0e37f71c27ded9748b6bb6e76e6290f76a
2.售前招投标与证明相关材料/软件安全与代码自主率/TDH-渗透测试报告-绿盟.pdf,.pdf,1.86,11,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,222,62b8dc6e5fc02eebf806f4782c8bc6369c007e9fad6594ce6dbd4c51483c4e0a
2.售前招投标与证明相关材料/软件安全与代码自主率/TDH.pdf,.pdf,1.47,12,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,243,f7fe07c65dcdb1cb248597045d7da34f50879598a758eb5a869ac5e24d48d065
3.实践方案/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,52,97950e05299a17ac459f9ea8e570a7bfcbfdfc8dff4878210373f725d68e6915
3.实践方案/Inceptor优化方案/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,65,8b79ad8dfb73c9135e4f76ea542e25bdbc4d8cb22197cec4cddf9f97df5f9166
3.实践方案/Inceptor优化方案/Inceptor优化手册_v22_5_优化方法.docx,.docx,1.00,,D-二期技术库,用于性能优化、弹性计算或扩容专项追问，不属于首版产品匹配,实施类内容需技术专家复核后输出,ok,132117,0e777f4b64aee999aa0940b1ea5f8f954216e9678b127ad6a704fec372349f20
3.实践方案/Inceptor优化方案/Inceptor优化手册_v22_5_软硬件.docx,.docx,4.97,,D-二期技术库,用于性能优化、弹性计算或扩容专项追问，不属于首版产品匹配,实施类内容需技术专家复核后输出,ok,30742,ef0b13b1b572e004107cb2d8abac6105f71000d3e94b44841e44ca25525ac2c8
3.实践方案/弹性计算/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,57,eb1f5cc73e64c226a285ff30895387dba69cc467f394a7aadc5c818617913bd5
