relative_path,extension,size_mb,pages_or_slides,version_or_period,modified_at,classification,recommended_use,risk_or_action,extraction_status,extracted_chars,sha256
04产品介绍/产品使用手册获取方式/产品手册在线查看入口.png,.png,0.03,1 image,未从文件名确认,2026-09-03T17:23:07,B-首版条件入库,定位在线帮助文档入口,截图不含产品功能事实，也未提供可直接引用的网址,visual_checked,,a8e6d7f0193c4d61feb114cc05417f369f1ae34ddd4f2abd0adacad10341708b
04产品介绍/历史备份/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:22:19,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,b9fe49bc2295d20963ba2c0b73d639f0e318e1b7895895bcd6d6d11473d158dd
04产品介绍/历史备份/LLMOps1/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:22:22,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,b4c077440154ab4ab7916cd4a3d9c6e3db700616e214cf2a79de2b1015beb73e
04产品介绍/历史备份/LLMOps1/LLMOPS-1.3.2测试报告.xlsx,.xlsx,2.76,5 sheets,v1.3.2,2026-09-03T17:23:13,C-测试证据库,对应旧版本的测试范围、用例和缺陷追溯,含内部测试与环境信息；不参与普通售前推荐，不上传原文件,verified_with_raw_ooxml,,cb8c8919f01f5c64cd0f562fa0b30b1a0c061a9d9d9fc57fac7b0f8427c1e270
04产品介绍/历史备份/LLMOps1/LLMOPS-1.3.2漏洞扫描结果.xlsx,.xlsx,0.05,2 sheets,v1.3.2,2026-09-03T17:23:15,C-安全证据库,旧版本漏洞扫描举证,只在安全审计问题中按版本使用，不能代表当前版本安全状态,verified_with_artifact_tool,,59f993f2d2b40fcd4bcb46c2698c731aa0168ce03188d7b6948bbeba45cdc150
04产品介绍/历史备份/LLMOps1/LLMOps-产品介绍-2025-v141.pptx,.pptx,101.76,31 slides,v1.4 / 2025,2026-09-03T17:24:14,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,15728,fb0e22343786826614e572783977c221b911b2988d0a93c60d717b86cb1de857
04产品介绍/历史备份/LLMOps1/LLMOps-场景案例-2025-v1.4.pptx,.pptx,64.78,41 slides,v1.4 / 2025,2026-09-03T17:31:15,C-历史版本库,历史场景和案例线索，用于设计测试问题,不能单独证明当前版本能力或客户效果,text_extracted,13570,86fb29828480c371199df0d1c0335705c8cce4fb217fd281e480d25e55d59808
04产品介绍/历史备份/LLMOps1/LLMops-1.3.3测试报告.xlsx,.xlsx,2.79,5 sheets,v1.3.3,2026-09-03T17:24:23,C-测试证据库,对应旧版本的测试范围、用例和缺陷追溯,含内部测试与环境信息；不参与普通售前推荐，不上传原文件,verified_with_artifact_tool,,b604c7d927e3193c4bb083d4ccd8b22172d15041b2ce792a88a3accb568369f5
04产品介绍/历史备份/LLMOps1/Sophon LLMOps V1.1 使用手册.pdf,.pdf,47.16,134 pages,v1.1,2026-09-03T17:29:31,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,58853,36a1518a014abb3ad1902ed860c968bcd647eec8562419c063a986fc28c91b82
04产品介绍/历史备份/LLMOps1/Sophon_LLMOps_使用手册V1.3.3.pdf,.pdf,83.96,226 pages,v1.3.3,2026-09-03T17:31:11,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,108675,cd1fef033fc94299f9ab88b2e6a4c65e11730b72ed32ef09d1f45077685b4b80
04产品介绍/历史备份/LLMOps2/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:22:22,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,04e4c566daf76a0f3d7610c7cf235a286b5d6b64ff213c202dd3482fc0eccd2c
04产品介绍/历史备份/LLMOps2/LLMOps-产品介绍-2025-v200-EN.pptx,.pptx,67.19,34 slides,v2.0 / 2025,2026-09-03T17:27:36,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,44826,fb7ba108119904118f2333d5d91fa5d259378b09fd5857d578b14038842d7481
04产品介绍/历史备份/LLMOps2/LLMOps-产品介绍-2025-v200.pptx,.pptx,146.04,34 slides,v2.0 / 2025,2026-09-03T17:28:32,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,17227,6230df1de4d25ba0bc7464fbb7d175cf69937935fb1e5bb47c1cc5d1373c9e58
04产品介绍/历史备份/LLMOps2/LLMOps2产品培训-企业级能力.pptx,.pptx,1.68,10 slides,LLMOps 2.x / 2025,2026-09-03T17:27:32,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,2849,dc2decab10d4e9ed87cb8eb0e65ba9f5f68baa9de45eb843eecbadfe87c2c1be
04产品介绍/历史备份/LLMOps2/LLMOps2产品培训-应用.pptx,.pptx,31.20,10 slides,LLMOps 2.x / 2025,2026-09-03T17:28:42,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,3908,a2cbef44282f09082a8a905335ff7aad7f0ec5d4ba0530e0249edaf53587f655
04产品介绍/历史备份/LLMOps2/LLMOps2产品培训-算力&模型&代码.pdf,.pdf,2.20,23 pages,LLMOps 2.x / 2025,2026-09-03T17:27:48,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,0,1296cb3a629ba91ddfb2bbf0d91117da0d6e91c6feaca9e277f59d9574e23902
04产品介绍/历史备份/LLMOps2/LLMOps2产品培训-算力&模型&代码.pptx,.pptx,46.67,23 slides,LLMOps 2.x / 2025,2026-09-03T17:28:39,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,11170,4dff6170e9535ee087f8d7a7634c0df1fff13a2b2174a8c5c1d4b7b620a10329
04产品介绍/历史备份/LLMOps2/LLMOps2产品培训总结-亮点与套餐.pptx,.pptx,77.71,20 slides,LLMOps 2.x / 2025,2026-09-03T17:29:56,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,9231,64af0a094a4b32f6fb88035f764c99a9f641b2ecc2209046a9db02bfee43cbcd
04产品介绍/历史备份/LLMOps2/LLMops2 产品介绍-知识工程202511.pptx,.pptx,13.04,18 slides,LLMOps 2.x / 2025,2026-09-03T17:31:24,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,9027,23366dae680910ac1102f71da14ceecedbcd620b65dde49beb2eea9589d22fa0
04产品介绍/历史备份/LLMOps2/LLMops2产品培训-语料&知识.pptx,.pptx,13.44,27 slides,LLMOps 2.x / 2025,2026-09-03T17:26:31,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,10130,41c11de838c83f51585871d61e97a87f7640e9621194559281f74f7db916c604
04产品介绍/历史备份/LLMOps2/Transwarp LLMOps-星环大模型运营平台-2025.pdf,.pdf,4.53,2 pages,2025,2026-09-03T17:26:30,C-历史版本库,历史版本追溯和术语对照,旧名称、旧版本或规划项不得覆盖 LLMOps 3.0 当前口径,text_extracted,6408,fe6bb7c209dbeacc9dfed8e005bb9cd5d6f92ff21cb6ffef1d4f66ee98566651
04产品介绍/历史备份/LLMOps2/大模型工具平台对比.pptx,.pptx,16.51,5 slides,未从文件名确认,2026-09-03T17:26:45,C-历史版本库,历史竞品研究线索,时效性和营销偏差风险高；必须单独受控，不进入默认回答,text_extracted,16965,5ad55b1e2aa5d6a10b109411cce5c7907b5201c9f58a05392cbc928460122a7f
04产品介绍/历史备份/LLMOps2/星环科技知识管理平台总体方案介绍202505 v2.pptx,.pptx,20.04,37 slides,2025-05,2026-09-03T17:27:24,C-历史版本库,历史场景和案例线索，用于设计测试问题,不能单独证明当前版本能力或客户效果,text_extracted,19048,ff4526f145d2585d1ee18605159781e4869d16f18f02dfa27f231902f3d23686
05接口规范/.WeDrive,[no-extension],0.00,,无,2026-09-03T17:23:08,E-排除首版,系统或网盘元数据，不含产品知识,禁止入库,metadata_only,,4ad37afadcc88a213a1d4f02ca55dabbde7f00e86231d60721399e0f3cdcd392
