relative_path,extension,size_mb,version_or_period,modified_at,classification,recommended_use,risk_or_action,extraction_status,pages_slides_or_sheets,duplicate_of,sha256
问数材料/问数产品材料/白皮书/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.924Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,ed5d45fa99ead5e1a386e6ef58479f19221fc5f09a97724a4d3089afa3424806
问数材料/问数产品材料/白皮书/问数白皮书V2.0_20250718.pdf,pdf,19.57,V2.0 / 2025-07-18,2026-09-04T08:46:48.921Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,12 pages/slides,产品手册与白皮书/白皮书/问数白皮书V2.0_20250718.pdf,3e80b92e7dacb751a62c24d477e3ec38180874a7e614dd7a4e625eb2ffd60d37
问数材料/问数产品材料/白皮书/问数白皮书V2.0(简版)_20250718.pdf,pdf,1.93,V2.0 / 2025-07-18,2026-09-04T08:46:29.325Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,2 pages/slides,产品手册与白皮书/白皮书/问数白皮书V2.0(简版)_20250718.pdf,b00a8843b92380264897aff3a24d493e5ccd75f57e8ca6e872038a146f7e249c
问数材料/问数产品材料/测试材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.913Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,99fd62b755acf437a43f3e6a03f89e151530b9000b676b8ef2c408bc01db487e
问数材料/问数产品材料/测试材料/测试报告/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.915Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,de03ec8e3ac60ba23e59c9fb48948aa17b108ab92e85e685e1d2ca65b8fe3cb8
问数材料/问数产品材料/测试材料/测试报告/星环科技产品无涯问数与银河麒麟高级服务器操作系统(海光版)V10适配认证测试报告-20251014.docx,docx,8.23,未从文件名确认,2026-09-04T08:46:21.243Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,4 pages/slides,问数材料(1)/问数产品材料/测试材料/测试报告/星环科技产品无涯问数与银河麒麟高级服务器操作系统(海光版)V10适配认证测试报告-20251014.docx,3a208e1093bdd450ac66c8c2a463e92fb517b34802b5f34127604d80a948fd50
问数材料/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告.docx,docx,9.69,2.5.x,2026-09-04T08:45:46.538Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,1 pages/slides,问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告.docx,d67c067ca8edd191a1cac4dd88a36a635edbb8f372369de5524d578ab61587ec
问数材料/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告+鲲鹏海光.docx,docx,24.17,2.5.x,2026-09-04T08:46:58.034Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,1 pages/slides,问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.5.0 测试报告+鲲鹏海光.docx,d28d39f1f852bc669b8ff101c2202c7407ba897e95551c9ddca47edeb2e95a10
问数材料/问数产品材料/测试材料/测试报告/Logits-2.7.0 测试报告.docx,docx,20.66,Logits 2.7.0,2026-09-04T08:46:17.734Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,1 pages/slides,问数材料(1)/问数产品材料/测试材料/测试报告/Logits-2.7.0 测试报告.docx,9170ee5124b07cd5ae29356b1306c81a23079727c0e60a9e9ae2720ec0a449fe
问数材料/问数产品材料/测试材料/测试设计/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.917Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,2386ebdd3998174f8831d5045b63ed7ae2cf19ec614c3857f6aff39e086ce4fb
问数材料/问数产品材料/产品文档/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.921Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,b6c0f0fa09289d4e2346f81668d7e04e42b3c9eeabc76cefcc32a1ba75a030a7
问数材料/问数产品材料/功能清单/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.922Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,c047beb76614edde033759369ffa85279287078675f58c528ebb1f4192b62e9b
问数材料/问数产品材料/功能清单/无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx,xlsx,0.02,Logits 2.x（具体版本待确认）,2026-09-04T08:46:27.542Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,2 sheets,问数材料(1)/问数产品材料/功能清单/无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx,08b7ed525474973a1b9f17c3ae23c0e999a383aea08e3c3c49d6b00d3356aefe
问数材料/问数产品材料/投标材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.925Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,950780f7ebce2cc2dec7f64fba91072b2994cdf7bbb6b4f779102672ba9cfc48
问数材料/问数产品材料/相关认证和专利/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.926Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,6416e244470d46dd832cfc9df3518ab7ff5c55a68f2dd1e764bc5efd3533d178
问数材料/问数产品材料/相关认证和专利/IPI2501122-一种渐进式自然语言到结构化查询语言的方法和系统-专利申请受理通知书.pdf,pdf,0.25,未从文件名确认,2026-09-04T08:46:36.808Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,1 pages/slides,问数材料(1)/问数产品材料/相关认证和专利/IPI2501122-一种渐进式自然语言到结构化查询语言的方法和系统-专利申请受理通知书.pdf,59c2b19651ce68ba4a90bc5fe076061288344b74061c230139d8f3d8f18c7d47
问数材料/问数产品材料/销售&实施培训材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.924Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,171a7f85940f393a66925262b2102f128576f9f09f6094af7807948387671e07
问数材料/问数产品材料/API文档/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.918Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,4e9d6bd412143596c169f13cd6ed57ee522abd20f0c071860adfc368d8a1028d
问数材料/问数产品材料/POC材料/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.919Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,9cbadda1579f1574be932164205e5e5bd7912aaac7e92446489ceb3288459d7d
问数材料/问数产品材料/POC材料/POC测试用例/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.920Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,47bf7731e875292c3b07728a3ba0f7d0bbf1f5b6ba46330bc6f9ca78b3e21a60
问数材料/问数产品视频/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.927Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,f0fc7ffa6f1a42c638776b3693d915541ac4bc94b3077a9558247abe9bfc1dfc
问数材料/问数产品视频/问数产品演示20151104.mp4,mp4,75.88,未从文件名确认,2026-09-04T08:48:03.577Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,metadata_checked,,问数材料(1)/问数产品视频/问数产品演示20151104.mp4,82b5a6af6b561110a1076c85b9615a1d5686228f4d53d248d65817652f6b2abd
问数材料/问数产品视频/问数产品演示20260630.MOV,mov,52.22,2026-06-30,2026-09-04T08:48:06.783Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,metadata_checked,,问数材料(1)/问数产品视频/问数产品演示20260630.MOV,b7500b7272d9363765fad53ad3de601076c7ecfc9463fbf87676db5df37f8d95
问数材料/问数产品PPT/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:40:13.911Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,b7344211a734e708362c03e38dce5661d70e675cf5119ad84208f8e93f814e2d
无涯全产品介绍（问知+问数）.pptx,pptx,49.32,未从文件名确认,2026-09-04T08:48:00.194Z,A-首版核心入库,无涯问知与问数总体架构、能力和场景,发布日期不清；专项能力以更具体且更新资料为准,ok,52 pages/slides,,c3455e058db9bf528eded0963cef882a84218c9dd12a75062dc2de82a72fcf09
无涯问知产品介绍241223.pptx,pptx,34.79,2024-12-23,2026-09-04T08:48:50.264Z,C-历史或补充资料,旧版问知能力和场景追溯,2024 旧材料不能覆盖 2025/2026 资料,ok,25 pages/slides,,d80a93e98702817685dd0fc278e5d2c590170c1fe2ff92aa30924f565d49ad6c
无涯问知产品介绍241223(1).pptx,pptx,34.79,2024-12-23,2026-09-04T08:48:51.853Z,D-完全重复副本,保留来源追溯，不重复入库,与另一文件 SHA-256 完全一致,ok,25 pages/slides,无涯问知产品介绍241223.pptx,d80a93e98702817685dd0fc278e5d2c590170c1fe2ff92aa30924f565d49ad6c
无涯问知功能清单与描述（引导参数）.xlsx,xlsx,0.08,未从文件名确认,2026-09-04T08:44:36.691Z,A-首版核心入库,问知 2.6.0 当前功能、端侧支持与历史版本差异,历史工作表只用于版本追溯，不覆盖 2.6.0 当前口径,ok,6 sheets,,d6ac97fa0f96de7e2445c1798d9fbc875c702089faa8328321b274eb3ee56156
无涯问知深度研究助手产品介绍.pptx,pptx,17.32,未从文件名确认,2026-09-04T08:48:52.385Z,A-首版核心入库,深度研究助手的数据源、工具、权限、编排和研究场景,效率数字和绝对化宣传不作为默认对客承诺,ok,9 pages/slides,,35425db0faaf6638c2244e0fd5b2a7c885290d0a4bbe2131dd451cd57721dcd6
无涯问知AI工作站产品介绍202601.pptx,pptx,19.25,2026-01,2026-09-04T08:48:32.522Z,A-首版核心入库,AI 工作站形态、适用团队和本地化能力,配置、并发和性能数字须以正式方案为准,ok,8 pages/slides,,d0f1862bb776e45165e9372a824f110a6160de0f66939c0b48667c605eba98cf
无涯openclaw方案/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:47:11.548Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,489953196066191b534999a3e610967fdc50a7239b79702db9f9333c57359406
无涯openclaw方案/产品相关文档/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:47:11.553Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,f0d6eb7bd7a35d41fe1c43a46bf3ec04ad7cddb677b142d4bd32ba339519e9a2
无涯openclaw方案/角色市场/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:47:11.555Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,d65aaee9fefb9947806f3e8eee1306b280ac508c788aff3ff779c95f03ae34e0
无涯openclaw方案/角色市场/Oracle_业绩预测风险提示报告助手.zip,zip,0.11,未从文件名确认,2026-09-04T08:49:57.462Z,E-敏感演示包,仅供人工演示或研发参考,压缩包含代码、配置、提示词或示例凭证；禁止默认入库和执行,archive_manifest_checked_not_executed,,,51a68d3b4c71a7f958da201ce80c555a79a767906029d3a4e30ea6c3bbaa40ac
无涯openclaw方案/角色市场/SuperSales-Man-Package-v2.2.zip,zip,0.38,未从文件名确认,2026-09-04T08:50:05.408Z,E-敏感演示包,仅供人工演示或研发参考,压缩包含代码、配置、提示词或示例凭证；禁止默认入库和执行,archive_manifest_checked_not_executed,,,9b3206c5f3606dbb650c780297d1b7d4863f949ca3e8356ae193c61b3ffe5467
无涯openclaw方案/XClaw星环科技.pptx,pptx,360.95,未从文件名确认,2026-09-04T08:54:19.022Z,B-首版条件入库,客户明确询问 XClaw/OpenClaw/Co-Worker 时用于名称和能力追溯,XClaw 与 Co-Worker 的正式关系及当前售卖名称待确认,ok,26 pages/slides,,71226f6ba8ef92b1cafdac5f96871bfc57156251bea40f9ac23a29c00831f38a
co-worker/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:39:14.237Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,6818fd8f264b1e418170863ed4d37afd9e2ae3f2d4d26ba6a82c382940f98bcb
co-worker/产品使用场景视频/.WeDrive,wedrive,0.00,未从文件名确认,2026-09-04T08:39:14.239Z,E-排除首版,系统或网盘元数据,不含可用于销售问答的业务知识,metadata_only,,,9c31ae84789b97a8cca21f18a768ee390dd6e6dcfd99afb70c551878622abe38
co-worker/产品使用场景视频/财物部门 发票识别.mp4,mp4,2.93,未从文件名确认,2026-09-04T08:39:27.104Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,69c90ad85483a766f358499127d58f927b595f3fc8e2e4628662ba54b5819d54
co-worker/产品使用场景视频/经营分析报告-分散材料查找-英文版.mp4,mp4,46.79,未从文件名确认,2026-09-04T08:41:54.157Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,420aaeba7dbe48d132b61c64857763ff44c78cb9d74476874ea8fd8ce10f9993
co-worker/产品使用场景视频/经营分析报告-分散材料查找.mp4,mp4,69.84,未从文件名确认,2026-09-04T08:41:22.393Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,b2a4e57803924268278217954ae3761b8771ca8c74d4a76bb5d3d535e813620f
co-worker/产品使用场景视频/市场部门 生成宣传海报.mp4,mp4,4.47,未从文件名确认,2026-09-04T08:39:45.825Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,1df52e53006b0e9be78017c24925a7ab541ce5060e2e0078154c5e9ca0d3274e
co-worker/产品使用场景视频/业务部门 erp报告生成.mp4,mp4,4.99,未从文件名确认,2026-09-04T08:40:02.911Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,7fdcfaf031b120c0061ea31e56a36d7c2a9605c359850e46521bf8aae0028781
co-worker/产品使用场景视频/与无涯知识库连通.mov,mov,110.27,未从文件名确认,2026-09-04T08:44:24.238Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,e33bb9c89e26f4f3f0d17f223731b98d56b3ea7b5ae59d9d8886b9e60eb2bccc
co-worker/产品使用场景视频/erp项目巡检与催办.mp4,mp4,6.67,未从文件名确认,2026-09-04T08:40:03.138Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,6d81dd08df7e022d756d2074d4d93d6ee8892b29ba109d2c711ab4f38103723d
co-worker/产品使用场景视频/it生成架构图.mp4,mp4,3.25,未从文件名确认,2026-09-04T08:40:22.981Z,B-首版条件入库,人工核验演示场景和操作流程,未形成经复核转写前不能单独支撑产品承诺,metadata_checked,,,fd7b3a85a678ed626f58a819d52b474611ee01c2d00fa5629dc8f58e0ed44c2c
