映射编号,销售复合需求,能力拆分,主推组合,产品分工,可选组合,适用条件,必须追问,排除条件,资料来源,资料冲突,推荐置信度,产品专家,审核状态,优化备注
CP-M015,核心库数据实时下移分析并完成治理,低影响同步；分析下移；实时数仓；治理,ArgoDB AP + TDS-SUITE-R + TDS-SUITE-D,ArgoDB AP：承接核心数据实时分析；TDS-SUITE-R：同步和数据服务；TDS-SUITE-D：治理,ArgoDB AP + TDS-SUITE-E,事务仍留在核心系统，分析负载下移,源库类型、同步 SLA、是否回写和治理范围是什么？,若要替换核心事务库，应转为 HTAP 评估,ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M016,事件流清洗后进入实时湖仓或数据库并治理,流式 ETL；实时存储分析；治理,Slipstream + ArgoDB AP + TDS-SUITE-D,Slipstream：流式 ETL；ArgoDB AP：实时存储与分析；TDS-SUITE-D：治理,Slipstream + TDH 湖仓集一体版 + TDS-SUITE-D,需要流处理，且目标是实时分析数据库,端到端时效、计算逻辑和目标底座是什么？,若只需分钟级增量加工，可优先比较 TDH 湖仓集一体版,ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M017,事件流既要消息持久化、实时计算又要入库治理,事件存储；流计算；数据底座；治理,Event Store + Slipstream + ArgoDB AP + TDS-SUITE-D,Event Store：事件持久化；Slipstream：流计算；ArgoDB AP：实时分析；TDS-SUITE-D：治理,Event Store + Slipstream + TDH 湖仓集一体版 + TDS-SUITE-D,存在持续事件流、复杂处理和下游分析,是否已有 Kafka、事件保留周期和目标时效是什么？,已有消息平台可保留时，不应默认新增 Event Store,ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M018,只补实时同步和数据服务工具，不更换底层平台,实时同步；数据服务；现有底座,现有 TDH 或 ArgoDB + TDS-SUITE-R,现有底座：存储计算；TDS-SUITE-R：Flashsync 实时同步与 Midgard 数据服务,现有平台 + TDS-SUITE-E,底层平台满足要求，只缺实时同步和服务,是否还缺开发、治理、目录和质量？,TDS-SUITE-R 不等同实时数据库,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；ArgoDB 实时数仓解决方案_最新.pptx#第12-23页,无,高,待指定,待产品专家确认,
CP-M019,实时链路中增加数据质量检查和智能质量分析,实时数据；质量规则执行；智能质量建议,TDH 或 ArgoDB + TDS-SUITE-D + Astro 数据质量智能体,TDH/ArgoDB：数据底座；TDS Governor：质量规则与治理执行；Astro：智能质量分析和任务编排,TDS-SUITE-D,已具备或计划建设质量规则体系,规则来源、阻断策略、责任人和实时 SLA 是什么？,Astro 不能替代正式质量规则审批,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M020,实时入库时识别敏感数据并完成分类分级,实时接入；分类分级；权限与审计；智能识别,ArgoDB AP 或 TDH + TDS-SUITE-D + Astro 分类分级智能体,底座：接收和保存数据；Defensor/TDS：分类分级与安全治理；Astro：智能识别和编排,底座 + TDS-SUITE-D,客户有明确的敏感数据制度和审批流程,法规、数据域、分级标准和实时阻断要求是什么？,不能让智能体自动发布未经审批的分级结果,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,高,待指定,待产品专家确认,
CP-M021,区分 Astro 智能治理与 TDS 专业治理工具,智能理解编排；治理执行；底层工具,TDS + Astro,TDS：接入、开发、治理和服务的专业工具；Astro：自然语言交互、生成建议并调用工具,仅 TDS,希望保留专业治理流程并提高智能化效率,当前是否已有 TDS 或第三方治理工具？,Astro 不能作为 TDS 的一比一替代,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M022,区分 TDS 工具套件与 TDH、ArgoDB 数据底座,工具层；存储计算层,TDH 或 ArgoDB + 按需 TDS 套件,TDH/ArgoDB：存储和计算；TDS：接入、开发、治理、服务和运维工具,现有第三方工具 + TDH 或 ArgoDB,客户同时需要数据底座和工具链,底层负载与缺失工具分别是什么？,TDS 不能独立承担数据库或数据湖存储,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M023,区分 TDC 集群管理与 TDH、ArgoDB 计算存储,平台管理；数据引擎,TDC + TDH 或 ArgoDB,TDC：部署、租户、资源和集群管理；TDH/ArgoDB：数据计算与存储,单一数据引擎自带管理工具,客户需要云原生或多集群统一管理,是单集群还是多集群？是否需要多租户和跨集群调度？,TDC 不是 SQL 查询、ETL 或数据治理引擎,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第10-14页；TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,高,待指定,待产品专家确认,
CP-M024,区分 Slipstream 流计算与 Flashsync、Midgard 实时工具,流式计算；实时同步；数据服务,按任务选择 Slipstream 或 TDS-SUITE-R,Slipstream：流式计算与事件处理；Flashsync：实时同步；Midgard：数据服务,Slipstream + TDS-SUITE-R,需求可拆为计算、同步或服务,是否需要复杂流计算，还是仅同步与服务？,不能把实时同步工具当作流计算引擎,ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M025,区分 ArgoDB AP 与 TDH 湖仓集一体版,亚秒或秒级 AP；分钟级湖仓集；一表多用,按时效与负载二选一,ArgoDB AP：写入即分析和实时数仓；TDH 湖仓集一体版：统一湖仓集和分钟级增量加工,两者分层组合,需要根据时效、数据量和统一架构目标选型,可接受延迟、查询并发、是否要湖仓集统一？,不能只凭“实时”二字确定产品,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,中,待指定,待产品专家确认,
CP-M026,区分 ArgoDB HTAP 与 TDH 分析平台,事务处理；分析；批量数据平台,按事务负载决定 ArgoDB HTAP 或 TDH,ArgoDB HTAP：事务与分析混合；TDH：数据湖、数仓和分析平台,ArgoDB AP,需要先判断核心负载是否包含高并发事务,事务比例、一致性、并发、批处理和方言要求是什么？,纯分析平台不应默认选择 HTAP,【解决方案&销售培训】ArgoDB HTAP 架构演进与业务场景实践_v4（final）_2026.pptx#第5-25页；TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,中,待指定,待产品专家确认,
CP-M027,区分 TDC Platform Service 与 Data Services 并叠加治理,单集群或多集群管理；多租户；治理,TDC Platform Service 或 TDC Data Services + TDS-SUITE-D,TDC PS：单集群单租户管理；TDC DS：多集群多租户与跨集群调度；TDS：数据治理,TDC + TDS-SUITE-E,客户既有平台管理又有治理需求,集群数量、租户数量、跨集群资源和治理范围是什么？,治理能力不能只归给 TDC,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第10-14页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M028,选择 Astro Pilot、直接智能体或 API/MCP 集成方式,交互入口；专用智能体；系统集成,按使用方式选择 Astro 入口,Pilot：自然语言统一入口；直接智能体：固定专业任务；API/MCP：嵌入现有系统和工具,组合使用多个入口,客户已确定 Astro 适用的智能任务,使用者、调用系统、权限和审计要求是什么？,入口选择不能替代底层产品选型,Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M029,自动补全业务语义并形成可治理定义,语义理解；业务术语；治理落库,TDS-SUITE-D + Astro 语义补全智能体,Astro：识别并补全语义；TDS Catalog/Governor：保存、审批和执行治理结果,第三方目录系统 + Astro API/MCP,已有业务术语或数据目录可供校验,术语标准、审批人和目标目录是什么？,智能生成语义不能未经审批直接生效,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M030,智能生成数据标准并纳入治理流程,标准生成；标准审批；规则执行,TDS-SUITE-D + Astro 数据标准智能体,Astro：生成和匹配标准建议；TDS Governor/Catalog：审批、管理和执行,仅 TDS-SUITE-D,客户已明确数据域和标准管理流程,现有标准、责任人和发布审批如何定义？,不能承诺自动生成标准完全正确,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M031,智能发现质量问题并执行质量规则,质量分析；规则生成；规则执行；闭环,TDS-SUITE-D + Astro 数据质量智能体,Astro：智能分析和规则建议；TDS Governor：规则执行、监控和治理闭环,仅 TDS-SUITE-D,需要质量规则和智能辅助同时存在,阻断或告警策略、规则审批和责任人是什么？,智能建议不能替代质量规则验证,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M032,智能识别敏感数据并完成分类分级,敏感识别；分类分级；审批；安全策略,TDS-SUITE-D + Astro 分类分级智能体,Astro：智能识别和分类建议；Defensor/TDS：分类分级、脱敏和策略执行,仅 TDS-SUITE-D,客户有明确法规和分类分级制度,适用法规、数据域、分级标准和审批人是谁？,不能输出或传播原始敏感数据,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
CP-M033,智能打资产标签并同步到数据目录,资产标签；目录；智能生成；审批,TDS Catalog + Astro 资产标签相关能力,Astro：生成标签建议；TDS Catalog：目录管理和标签落库,TDS-SUITE-E + Astro,客户已有统一目录与标签体系,标签体系、审批流程和当前 Astro 版本是什么？,Astro 两份资料对资产标签智能体口径不一致,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；Astro白皮书-中文260717.pdf#第5-9页,有,中,待指定,待产品专家确认,
CP-M034,自动分析血缘和影响范围并接入治理,血缘分析；影响分析；目录治理,TDS-SUITE-D + Astro 血缘分析相关能力（待确认）,TDS：元数据和治理底座；Astro：白皮书所述血缘分析智能能力，具体版本待确认,仅 TDS-SUITE-D,客户有完整元数据和可解析的开发任务,目标 Astro 版本、血缘范围和元数据完整度是什么？,产品介绍与白皮书的智能体清单存在差异,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页；Astro白皮书-中文260717.pdf#第5-9页,有,中,待指定,待产品专家确认,
CP-M035,国产替代 CDH 并补齐数据开发和治理,Hadoop/CDH 替代；数据湖；开发；治理,TDH 数据湖版 + TDS-SUITE-T + TDS-SUITE-D,TDH：国产数据湖底座；TDS：开发接入与治理工具,TDH 湖仓版 + TDS-SUITE-E,现有 CDH 以数据湖和批处理为主,是否同时替代传统数仓、实时链路和治理工具？,若存在核心事务数据库替代，不应只选 TDH,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M036,替代 Oracle 或 Teradata 数仓并建设治理,MPP 数仓替代；方言迁移；数据治理,TDH 湖仓版或 ArgoDB AP + TDS-SUITE-D,TDH/ArgoDB AP：承载迁移后的分析数仓；TDS：目录、质量和分类治理,TDH 湖仓集一体版 + TDS-SUITE-E,以分析型数仓负载为主,源库、SQL 方言、存储过程、实时性、并发和迁移窗口是什么？,如果事务占主导，应评估 ArgoDB HTAP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,中,待指定,待产品专家确认,
CP-M037,替代 MySQL/Oracle 的 CRM、ERP 并保留分析和治理,事务数据库替代；实时分析；方言；治理,ArgoDB HTAP + TDS-SUITE-D,ArgoDB HTAP：事务与分析混合数据库；TDS：企业级治理,ArgoDB HTAP + TDS-SUITE-E,CRM/ERP 等内部业务既有 TP 又有 AP,事务规模、一致性、方言、停机窗口和治理范围是什么？,不能承诺无改造或零停机迁移,【解决方案&销售培训】ArgoDB HTAP 架构演进与业务场景实践_v4（final）_2026.pptx#第5-25页；ArgoDB V6.2 技术白皮书.pdf#第3-9页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M038,替代 Hudi+Doris、HBase+Hive 等多套架构并治理,多引擎统一；数据减少搬运；湖仓集；治理,TDH 湖仓集一体版 + TDS-SUITE-D,TDH：统一湖仓集和数据加工分析；TDS：治理,ArgoDB AP + TDS-SUITE-D,主要矛盾是多套分析平台和数据搬运,现有组件、实时 SLA、查询负载和迁移边界是什么？,亚秒实时数仓或事务场景需分别评估 ArgoDB,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB 实时数仓解决方案_最新.pptx#第12-23页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页,无,高,待指定,待产品专家确认,
CP-M039,多套 TDH/ArgoDB 集群统一管理并统一治理,多集群；多租户；跨集群调度；治理,TDC Data Services + TDH/ArgoDB + TDS-SUITE-D,TDC DS：多集群、多租户和跨集群资源管理；TDH/ArgoDB：数据底座；TDS：数据治理,TDC Data Services + TDS-SUITE-E,存在两套以上集群或明确多租户、跨集群需求,集群数量、版本、租户、资源共享和治理范围是什么？,TDC 不替代各集群的数据引擎和治理工具,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第10-14页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#第4-23页；ArgoDB V6.2 技术白皮书.pdf#第3-9页,无,高,待指定,待产品专家确认,
CP-M040,单套集群云原生管理并叠加治理或智能助手,单集群管理；数据底座；治理；智能辅助,TDC Platform Service + TDH/ArgoDB + 按需 TDS/Astro,TDC PS：单集群单租户管理；TDH/ArgoDB：数据底座；TDS：治理工具；Astro：可选智能辅助,升级为 TDC Data Services + TDS/Astro,当前是单集群单租户,未来是否扩展多集群、多租户或跨集群资源共享？,若已有多集群需求，不应选择 TDC Platform Service,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第10-14页；202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#第15-17页；Astro产品介绍-2026-v4.pptx#第5-21页,无,高,待指定,待产品专家确认,
