客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
客户要统一管理 GPU 算力、资源组和租户配额,算力资源与GPU运营,企业算力运营,Model Foundry + AI Infra,TokenFactory,Model Foundry 管模型和 GPU 资源运营，AI Infra 提供空间、权限、配额和观测底座,需要跨团队共享或隔离算力资源,具体 GPU 品牌、切分和调度支持需按版本与适配清单确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;page=29;LLMOps3：大模型时代下的AI中台.pptx#slide=16-20,待产品专家确认
客户同时使用私有模型和外部模型 API，希望统一接入,异构模型统一接入,统一模型服务,TokenFactory + Model Gateway,Model Foundry,TokenFactory 统一接入私有和外部模型端点，降低上层切换成本,客户存在多供应商或多部署形态的模型,具体协议、模型和供应商兼容性需按适配清单确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：平台介绍-AI转型 .pptx#slide=13,待产品专家确认
客户要为不同部门配置 API Key、配额和用量计量,模型API鉴权配额与计量,Token使用治理,TokenFactory + AI Infra,Model Foundry,TokenFactory 提供 API Key、配额和计量，AI Infra 负责身份权限和成本归属,需要按部门、应用或租户治理模型调用,价格、计费规则和 License 必须由商务或产品确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：平台介绍-AI转型 .pptx#slide=13;slide=18,待产品专家确认
客户希望按业务 SLA、成本和模型健康状态自动路由,模型SLA与成本路由,智能模型路由,TokenFactory,Model Foundry + AI Infra,TokenFactory 可按场景、SLA 和成本路由，并支持模型分组和故障切换,已定义业务等级、容量和降级策略,没有 SLA 和可接受降级条件时需要先追问,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：TokenFactory词元工厂.pptx#slide=3;slide=11,待产品专家确认
客户担心模型供应商故障，希望自动切换备用模型,模型服务故障切换,模型服务高可用,TokenFactory,Model Foundry,TokenFactory 的统一服务层包含模型分组、健康治理和故障切换,已配置可替代模型、路由和兼容输出,不能在未设计容灾拓扑时承诺零中断或零丢失,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：TokenFactory词元工厂.pptx#slide=11,待产品专家确认
客户要降低重复长上下文计算并提高推理吞吐,Token推理效能优化,高效Token生产,TokenFactory,Model Foundry,TokenFactory 通过 P/D 分离、多级 KV Cache、调度和扩缩容优化 Token 供给,长上下文、多轮 Agent 或混合 SLA 推理负载,所有提升幅度都依赖模型、硬件、精度、输入输出和并发条件,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21;LLMOps3：TokenFactory词元工厂.pptx#slide=3-10,待产品专家确认
客户要让国产卡、NVIDIA和CPU资源协同承担推理,异构算力推理协同,异构Token供给,TokenFactory + Model Foundry,AI Infra,专项材料描述异构调度、CPU+GPU 协同和异构 P/D 分离方向,已明确硬件型号、驱动、模型和适配范围,未经现场验证不得承诺性能、兼容性或成本下降比例,LLMOps3：TokenFactory词元工厂.pptx#slide=11-13,待产品专家确认
客户资料很多，希望自动给出知识加工方案并复核,对话式知识加工与方案复核,知识工程自动化,Knowledge Lodge + KB Agent,Corpus Studio,KB Agent 从业务目标、内容理解、方案复核到资产生产和效果复测形成闭环,需要把分散规则、案例和模板变成可验证知识资产,只需要原始语料清洗时优先 Corpus Studio,LLMOps3：平台介绍-AI转型 .pptx#slide=8;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
客户知识库要同时检索全文、向量、图片、表格和关系,多索引与跨模态检索,企业知识检索,Knowledge Lodge,KB Agent,Knowledge Lodge 支持全文、向量、图片、表格、标签字段和图关系等多索引体系,知识内容包含多种载体且需要混合检索,具体索引组合、排序和规模性能需按版本验证,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=13;LLMOps3：大模型时代下的AI中台.pptx#slide=10-11,待产品专家确认
客户希望知识库理解业务对象、关系、规则和流程,业务本体与关系推理,业务知识结构,Knowledge Lodge,KB Agent,当前资料将业务本体定义为企业对象、关系、规则和流程，并可结合图关系索引,需要面向领域对象和关系进行检索或推理,知识图谱只是承载关系的一种结构，不能等同全部业务本体,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=13,待产品专家确认
客户要把知识库发布成可复用服务并支持跨库检索,知识服务发布与跨库检索,知识即服务,Knowledge Lodge,AI Infra + Discover,Knowledge Lodge 支持知识服务化和跨库检索，Discover 可按权限提供资产入口,知识资产已完成加工、审核和权限配置,未确认服务接口和版本时不能承诺所有外部系统直接调用,LLMOps3：大模型时代下的AI中台.pptx#slide=10-11;LLMOps3：平台介绍-AI转型 .pptx#slide=7,待产品专家确认
客户要让知识资产有版本、来源、测试题和质量门禁,可验证上下文资产包,高质量RAG上下文,Knowledge Lodge + KB Agent,AI Infra + Catalog,KB Agent 将规则、案例、模板和错误样本加工为有版本、有来源、可复测的上下文资产包,需要稳定支撑 RAG 或 Agent，并持续回归,没有 Owner、来源和验收题时不应宣称知识已可生产使用,LLMOps3：平台介绍-AI转型 .pptx#slide=8;slide=12,待产品专家确认
业务人员想用自然语言快速搭建网页应用和智能体,浏览器Vibe Coding与Agent原型,智能体快速开发,Agent Go + AgentBox,Workbench,AgentBox 提供浏览器 Vibe Coding、沙箱、终端、预览和开发工作台,需要快速构建并允许技术人员接管代码和工程质量,不代表生成代码可绕过测试、权限、审核直接上线,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=15;LLMOps3：AgentGo 智能体平台.pptx#slide=5-7,待产品专家确认
客户希望把专家经验做成可复用的技能、规则和模板,Skills Rules Templates工程资产,Agent工程复用,Agent Go + AgentBox,AI Infra + Catalog,AgentBox 将专家工作流、工程红线和项目模板沉淀为可复用资产,需要多人、多项目复用经验并持续演进,Tools、Skills、Rules 和 Templates 不能混为同一对象,LLMOps3：AgentGo 智能体平台.pptx#slide=8-9,待产品专家确认
客户要在安全沙箱中完成代码构建、测试、预览和部署,安全沙箱与全栈工具链,受控智能体开发,Agent Go + AgentBox,AI Infra,AgentBox 提供浏览器开发、沙箱、终端、构建测试、预览和发布链路,需要受控环境和工程验证,具体语言、框架、网络和部署目标需按支持清单确认,LLMOps3：AgentGo 智能体平台.pptx#slide=7;slide=11,待产品专家确认
客户要把岗位、知识、技能和工具封装成数字员工,Agent Buddy数字员工,专家数字员工,Agent Go + Agent Buddy,Knowledge Lodge + AI Infra,Agent Buddy 是封装职责、上下文、工具、权限、人工确认和交付标准的已发布工作单元,任务高频、输入输出明确且有业务 Owner,不应从高风险自动决策切入，也不能当作普通聊天角色,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=15;page=28;LLMOps3：平台介绍-AI转型 .pptx#slide=10;slide=20,待产品专家确认
客户要让数字员工同时接入Web、企业微信、飞书或钉钉,跨渠道Agent会话接入,统一会话控制,Agent Go + Agent Session Manager,AI Infra,Agent Session Manager 提供跨 Agent、跨渠道的路由、会话记录和主动推送控制面,渠道在当前版本支持范围内并完成身份权限映射,不能把企业微信机器人连接能力自动扩大为所有渠道均已交付,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=17;LLMOps3：平台介绍-AI转型 .pptx#slide=11,待产品专家确认
客户需要跨Agent共享记忆、反馈并记录完整调用审计,会话记忆反馈与审计,Agent运行治理,Agent Go + Agent Session Manager,AI Infra,会话控制平面管理多模态历史、Memory 插件、点赞点踩、工具调用和运行事件,需要长期会话、反馈闭环和可审计运行,Memory 可插拔不等于任何第三方 Memory 都已适配,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=17;LLMOps3：平台介绍-AI转型 .pptx#slide=11,待产品专家确认
客户要统一登记知识、模型、应用、工具和技能资产,AI资产目录与治理,统一AI资产治理,AI Infra + Catalog,各产品域,Catalog 为数据、知识、模型、服务、Tools、Skills 和应用产物提供统一身份与治理元数据,需要 Owner、标签、版本、权限和审计,与 TDS Catalog 或外部目录产品的边界需确认,LLMOps3：平台介绍-AI转型 .pptx#slide=7;slide=16;slide=18;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
业务用户只想看到自己有权使用的AI资产并申请权限,权限感知资产发现,AI资产消费入口,AI Infra + Discover,Catalog,Discover 按权限展示可看、可申请和可使用的资产，并支持搜索、判断、获取和复用,Catalog 已登记资产且权限规则清晰,Discover 不替代 Catalog 的资产治理和 Owner 管理,LLMOps3：平台介绍-AI转型 .pptx#slide=7,待产品专家确认
客户要求多租户空间、角色权限、Secret和审计统一管理,企业身份权限与安全治理,企业级AI治理,AI Infra,Catalog,AI Infra 统一管理 Workspace、身份、角色权限、Secrets、审计和资源边界,多个部门或租户共享 AI 平台,具体认证协议、密级和合规项必须按项目确认,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=29;LLMOps3：平台介绍-AI转型 .pptx#slide=16;slide=18,待产品专家确认
客户希望AI应用有测试集、审批、灰度和失败回滚,Agent验收发布与回滚门禁,AI应用生产发布,Agent Go + AI Infra,Knowledge Lodge,平台将标准、边界、失败和高风险样本纳入测试、审批、发布、运营和回滚链路,需要将 Agent 或 AI 应用投入生产,不能以演示效果替代测试通过、Owner 批准和恢复方案,LLMOps3：平台介绍-AI转型 .pptx#slide=12;slide=17,待产品专家确认
客户要把模型指标、Agent轨迹和业务结果放到一份运营报告,端到端运行与业务指标观测,AI运营闭环,AI Infra + Agent Session Manager,TokenFactory,统一 trace 可关联 Agent、Session、Service、Model 以及周期、返工、修改率和通过率,需要持续运营并用真实结果改进下一版本,具体指标采集和报表范围需按部署版本确认,LLMOps3：平台介绍-AI转型 .pptx#slide=14;slide=17,待产品专家确认
客户要求关键步骤人工确认、可接管、可升级和阻断,人机协同接管与责任链,受控数字员工,Agent Go + Agent Session Manager + AI Infra,Knowledge Lodge,会话运行规则可定义 AI 处理、等待确认、人工接管、升级阻断和错误反馈,业务 Owner 明确且高影响决策需要人工复核,不得承诺高风险决策完全无人值守,LLMOps3：平台介绍-AI转型 .pptx#slide=10-12;slide=18,待产品专家确认
