客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
用户问完销售额后还要追问同比和按区域拆分,多轮数据追问,连续数据探索,无涯·问数,无涯·问数 + TDS,问数支持结合上一轮问题、SQL 和结果继续追问,同一用户同一场景且上一轮上下文有效,跨用户或完整新问题不能继承上一轮,"问数白皮书V2.0_20250718.pdf#page=4;page=9;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,row=多轮对话",待产品专家确认
客户要自动聚合、对比、下钻并分析异常原因,增强智能分析与下钻,业务分析洞察,无涯·问数,Co-Worker + 无涯·问数,问数可进行数据处理、聚合、对比、下钻和深度思考,指标口径和数据质量可控,复杂统计结论需核验数据范围和方法,问数白皮书V2.0_20250718.pdf#page=4;page=6-9,待产品专家确认
客户要把问数结果保存为图表和仪表盘并共享,数据可视化与看板,分析看板,无涯·问数,Co-Worker,问数支持多类图表、个人看板、共享和刷新,目标是交互分析和结果展示,固定监管报表或复杂排版可能仍需 Co-Worker 生成交付物,问数白皮书V2.0_20250718.pdf#page=7;page=9;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,待产品专家确认
客户希望查看生成的SQL并手动拖拽调整分析逻辑,SQL双向解析与可解释分析,透明数据分析,无涯·问数 + Opcode Engine,无涯·问数,Opcode Engine 支持 SQL 解析展示和前端调整后反向生成 SQL,用户需要理解和修正查询逻辑,可解释不代表所有 SQL 自动正确，复杂查询仍需验证,问数白皮书V2.0_20250718.pdf#page=5;page=7,待产品专家确认
客户要把多表、字段、指标、标签和业务口径配置成可问的数据对象,分析主体与语义层,业务语义建模,无涯·问数,TDS + 无涯·问数,问数通过分析主体、同义词和场景知识库屏蔽物理表复杂性,业务对象、表关系和口径已确认,大规模企业治理优先复用 TDS 成果,问数白皮书V2.0_20250718.pdf#page=5;page=8;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,待产品专家确认
客户已经有TDS治理成果，希望直接用于智能问数,复用TDS治理成果,治理增强智能问数,TDS + 无涯·问数,无涯·问数,问数可深度打通数据开发与治理套件，复用指标、元数据和权限成果,客户已有 TDS 或可提供标准化治理资产,问数本身不替代全套数据治理平台,问数白皮书V2.0_20250718.pdf#page=4-6;无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=功能清单,待产品专家确认
客户要求查询继承表级、行级和列级数据权限,细粒度数据权限,安全智能问数,TDS + 无涯·问数,无涯·问数,问数支持继承企业现有权限并描述表、行、列级控制,权限体系已定义并完成映射,具体数据库和版本的权限适配需验证,问数白皮书V2.0_20250718.pdf#page=5,待产品专家确认
客户要把智能问数嵌入现有业务平台,问数API集成,嵌入式智能分析,无涯·问数,Co-Worker + 无涯·问数,问数提供 API 接口以集成到现有业务平台,目标接口、认证和调用方式在支持范围内,未确认 API 清单前不能承诺所有功能可嵌入,问数白皮书V2.0_20250718.pdf#page=7,待产品专家确认
客户询问问数能连接哪些数据库,问数数据库适配,数据源连接,无涯·问数,TDS + 无涯·问数,问数资料提供独立数据库支持清单,目标数据库、版本、驱动和网络已明确,只能按当前支持清单答复，未知数据库必须确认,"无涯问数事项跟踪2026_功能清单及数据库支持清单_更新至2.X.0.xlsx#sheet=数据库支持清单,A1:C12",待产品专家确认
客户希望AI读取ERP、OA、邮件和本机文件并把任务做完,跨系统任务执行,企业AI协同办公,Co-Worker,Co-Worker + TDS,Co-Worker 面向多系统、多工具、多步骤任务，从理解到执行和交付,流程高频、规则明确且系统可连接,仅需查知识时优先无涯·问知；高风险动作必须确认,Co-Worker.pptx#slide=2;slide=5;slide=7;slide=9,待产品专家确认
月报资料散落在本地、云端和数据库，希望自动汇总成报告,多源资料汇总与报告交付,经营分析报告,Co-Worker,Co-Worker + 无涯·问知 + 无涯·问数,Co-Worker 可组合本地材料、企业知识和结构化数据生成可交付报告,资料权限、口径和报告模板已提供,数据口径未对齐时不能直接生成正式结论,Co-Worker.pptx#slide=3;slide=5-6;slide=12,待产品专家确认
客户要把合同催办或报表流程沉淀成可复用数字员工,数字员工与流程沉淀,岗位流程自动化,Co-Worker + Co-Worker数字员工,Skill + Skill Hub,Co-Worker 将职责、流程、确认节点和经验沉淀为可复用数字员工与 Skill,任务重复、边界清晰且有业务 Owner,不适合从重大高风险决策的全自动化开始,Co-Worker.pptx#slide=2;slide=7,待产品专家确认
客户要求AI每一步自查，失败重试，卡住时找人,Agent Loop与执行保障,可靠任务执行,Co-Worker,Co-Worker数字员工,Co-Worker 资料描述判断、执行、检查、调整以及失败重试和人工介入,流程可拆分且异常处理规则明确,不能承诺任何流程都零失败或完全无人值守,Co-Worker.pptx#slide=7;slide=9,待产品专家确认
对外发送、覆盖文件等敏感动作必须由人批准,敏感动作人工确认,人机协同控制,Co-Worker,AI Infra,Co-Worker 在关键动作前展示影响范围并由审核人确认,高影响动作和审批人已定义,不得绕过确认直接执行高风险操作,Co-Worker.pptx#slide=7-8,待产品专家确认
客户要控制数字员工权限、隔离执行并完整审计,权限、沙箱与审计,企业级安全执行,Co-Worker,AI Infra,Co-Worker 采用使用者与数字员工职责交集、多层沙箱和逐环节审计,身份、职责、数据和审批链清楚,具体隔离等级和合规认证需按版本与项目确认,Co-Worker.pptx#slide=8-9,待产品专家确认
客户想在桌面端处理本地材料，同时让Web端持续运行团队任务,端云协同,桌面与Web协同,Co-Worker,无涯·问知,Co-Worker 桌面端贴近本地数据，Web 端支持团队协同和云端持续运行,客户允许按敏感度划分本地和云端任务,云端能力启用范围和数据流向必须明确,Co-Worker.pptx#slide=2;slide=9-10,待产品专家确认
客户要把团队经验做成可审核、可分发、可升级的技能,Skill Hub技能治理,企业能力资产化,Co-Worker + Skill Hub,Sophon LLMOps + Agent Go,Skill Hub 管理技能审核、分发、权限、版本和审计,需要多人复用并有技能 Owner,压缩包中的示例 Skill 不能未经安全审核直接使用,Co-Worker.pptx#slide=2;slide=7;slide=9,待产品专家确认
客户已有内网或云端模型，希望应用层灵活切换,兼容模型接入,模型可插拔,Co-Worker,Sophon LLMOps + TDC AI服务版,Co-Worker 支持本地、内网和云端模型及 OpenAI 兼容接口,目标模型和接口兼容且通过验证,模型训练、算力调度和服务治理应由 LLMOps/TDC AI 承担,Co-Worker.pptx#slide=2;slide=9-10,待产品专家确认
