标准名称,实体类型,所属对象,英文名或License Code,可识别别名,禁止混用,首版使用规则,资料来源,确认状态
TDC Platform Service,服务Edition,TDC,Transwarp Cloud-Native Platform Service,"Platform Service;平台服务版;TDC平台服务",TDC Data Services,用于单集群、单租户的云原生管理底座,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-12,待产品专家确认
TDC Data Services,服务Edition,TDC,Transwarp Cloud-Native Data Services,"Data Services;数据服务版;TDC数据服务",TDC Platform Service,用于多集群、多租户、跨集群部署/共享/调度和自动弹性伸缩,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-12,待产品专家确认
Inceptor,组件,TDH,Transwarp Inceptor,"关系型分析引擎;Inceptor SQL引擎",TDH Edition,Edition能力主要通过Inceptor体现，但不能把组件名当售卖套餐,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
Holodesk,存储引擎,Inceptor,Holodesk,"Holodesk列存;Holodesk行存;湖仓统一存储格式",TDH或Inceptor,不作为独立产品推荐；用于解释湖仓统一存储和行列存能力,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=20,待产品专家确认
Hyperbase,组件,TDH,Transwarp Hyperbase,"宽表数据库;星环宽表数据库;HBase替代",ArgoDB AP,用于宽表、高并发在线写入和点查；是否随Edition包含需查套餐,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
Slipstream,组件,TDH,Transwarp Slipstream,"实时流计算引擎;流计算;实时ETL",ArgoDB增量计算,用于实时监测和实时ETL；不得等同于ArgoDB实时数仓,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
Scope,组件,TDH,Transwarp Scope,"分布式搜索引擎;全文检索;日志检索",通用SQL模糊查询,用于全文检索和日志存储分析,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
Event Store,组件,TDH,Transwarp Event Store,"EventStore;事件存储库;Kafka",Slipstream,用于事件/消息持久化；流计算需求需同时判断Slipstream,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=40,待产品专家确认
KeyByte,组件,TDH,Transwarp KeyByte,"Keybyte;键值数据库;Redis能力;高性能缓存",Hyperbase,用于键值访问和缓存类场景,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
TimeLyre,组件,TDH,Transwarp TimeLyre,"Timelyre;时序数据库;时序数据",Event Store,用于时序数据存储与分析；采购边界需单独确认,TDH 9.5 产品wiki.pdf#page=3,待产品专家确认
StellarDB,组件,TDH,Transwarp StellarDB,"图数据库;图数据分析",Hippo,用于图关系存储、分析和可视化；通常需单独采购,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7-9,待产品专家确认
Spacture,组件,TDH,Transwarp Spacture,"时空数据库;时空轨迹分析",TimeLyre,用于时空轨迹数据存储与分析,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
Hippo,组件,TDH,Transwarp Hippo,"向量数据库;向量检索",StellarDB,用于向量数据存储与分析；采购边界需单独确认,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
TDFS,基础组件,TDH,Transwarp Distributed File System,"星环分布式文件系统;分布式文件存储",HDFS,作为TDH底层文件存储能力，不单独替代上层Edition推荐,TDH 9.5 产品wiki.pdf#page=3,待产品专家确认
TDDMS,基础组件,TDH,Transwarp Distributed Data Management System,"星环分布式数据管理系统;分布式数据管理",TDC Data Services,负责TDH内部数据管理；跨集群平台管理推荐TDC Data Services,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=14,待产品专家确认
Manager,历史管理组件,TDH,Transwarp Manager,"TDH Manager;星环大数据管理软件",TDC Platform Service,只识别存量部署；新管理底座以TDC相关服务为准,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-14,待产品专家确认
Quark,计算组件,TDH,Transwarp Quark,"Quark Batch;Quark-lite;Quark Lite",Inceptor,用于计算加速或轻量专项；是否进入首版需按客户问题启用,Quark-lite 产品介绍（面向客户）.doc#全文,待产品专家确认
