客户原始需求,标准功能,解决方案,主推产品,可选产品,推荐理由,适用条件,排除条件,资料来源,确认人
客户希望把T+1天的指标加工升级到T+1分钟,实时增量计算,准实时湖仓集,TDH 湖仓集一体版,ArgoDB AP,湖仓集一体版支持基于增量数据触发加工且可沿用原SQL逻辑；ArgoDB AP适合更低延迟要求,分钟级指标加工且保留湖仓集统一架构,亚秒级可见或核心交易数据嵌入式分析优先ArgoDB AP,TDH&ArgoDB license功能点.xlsx#Inceptor!A76:H78;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=20,待产品专家确认
客户需要库表级跨集群实时同步和同城异地容灾,跨集群实时同步与灾备,湖仓集容灾,TDH 湖仓集一体版,ArgoDB AP,两个候选均被版本差异资料标记为支持跨集群实时同步；需按工作负载选择,需要实时备份、跨集群容灾且以分析负载为主,仅凭RPO/RTO口号不得承诺，必须结合版本和部署条件验证,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=36-37;TDH&ArgoDB license功能点.xlsx#Inceptor!A73:H75,待产品专家确认
客户要做亚秒级实时数仓和实时数据集市,亚秒级实时分析,实时湖仓集一体,ArgoDB AP,TDH 湖仓集一体版,ArgoDB AP采用实时行列混合存储并面向实时ODS、数仓和数据集市；分钟级可接受时可选TDH湖仓集一体版,要求亚秒/秒级可见、实时写入并立即分析,以传统离线批处理为主时不应优先ArgoDB AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=27;slide=30;TDH&ArgoDB license功能点.xlsx#ArgoDB!A78:D81,待产品专家确认
客户希望核心业务系统数据实时同步后直接分析，降低交易系统查询压力,核心系统分析下移,Inline实时分析,ArgoDB AP,ArgoDB HTAP,ArgoDB AP强调与核心OLTP系统紧密结合并支持实时分析下移；若事务也迁入同一平台则比较HTAP,核心交易数据需低影响同步并实时分析,仅做分钟级离线或准实时指标可选TDH湖仓集一体版,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=30,待产品专家确认
客户需要高并发强一致的在线事务数据库支撑ERP、MES或OA,在线事务处理OLTP,分布式事务数据库,ArgoDB TP,ArgoDB HTAP,TP版面向高并发强一致OLTP和企业核心业务系统；同时要求实时分析时选HTAP,主要负载是事务处理,纯分析、数据湖或批处理场景不适用,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=27;slide=34,待产品专家确认
客户要求同一数据库同时处理交易和实时分析,事务分析混合HTAP,HTAP数据库,ArgoDB HTAP,ArgoDB TP;ArgoDB AP,HTAP版融合TP和AP，减少跨平台同步并支持业务数据生成后实时分析,事务处理和实时分析必须在同一平台,只有事务或只有分析时分别选择TP或AP,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2;slide=27,待产品专家确认
客户有多套TDH或ArgoDB集群，希望统一管理,多集群统一管理,云原生数据服务管理,TDC Data Services,TDC Platform Service,Data Services支持多集群、多租户和TDH/ArgoDB统一管理,客户存在多套数据集群,只有单集群单租户时不应推荐Data Services高级能力,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-12,待产品专家确认
客户希望跨集群调度闲置资源并自动弹性伸缩,跨集群资源调度与弹性,云原生数据服务管理,TDC Data Services,,跨集群资源调度、自动弹性伸缩和数据共享属于TDC Data Services平台管理能力,多集群资源不均衡或需要跨集群弹性,不能把该能力直接归到某个TDH Edition,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-12,待产品专家确认
客户只有一套集群，希望替换Manager并使用云原生管理,单集群云原生管理,平台服务管理,TDC Platform Service,TDC Data Services,Platform Service定位为单集群单租户的云原生管理底座,单集群、单租户且没有跨集群高级需求,需要多集群、多租户或跨集群共享时升级Data Services,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=10-12,待产品专家确认
客户要做全文检索、日志检索和倒排索引,全文检索,多模搜索,Scope,TDH 数据湖版,Scope是TDH体系中的分布式搜索引擎，承担全文检索和日志存储分析,核心需求是文本检索或日志分析,普通结构化SQL查询不应直接推荐Scope,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7;slide=36,待产品专家确认
客户有HBase类宽表和高并发在线点查需求,宽表数据库与在线点查,宽表数据服务,Hyperbase,ArgoDB AP,Hyperbase面向宽表高并发在线写入和查询；需要行列混合实时分析时比较ArgoDB AP,数据模型为宽表且以点查/在线写入为主,复杂OLAP或实时数仓不能只推荐Hyperbase,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7;202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=7,待产品专家确认
客户需要实时监测、实时ETL或流式计算,实时流计算,实时数据处理,Slipstream,TDH 湖仓集一体版,Slipstream承担实时监测和实时ETL；需要结果进入统一湖仓集并做增量分析时组合湖仓集一体版,需求本质是流处理或实时ETL,亚秒级实时数仓不能只推荐Slipstream,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7;slide=40,待产品专家确认
客户要存储设备指标并做时序分析,时序数据存储与分析,多模时序分析,TimeLyre,TDH 数据湖版,TimeLyre是TDH体系中的时序数据库；与TDH组合可做跨模型分析,数据包含时间戳并以时序聚合和趋势分析为主,事件消息或普通关系型报表不应推荐TimeLyre,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7-9;TDH 9.5 产品wiki.pdf#page=3,待产品专家确认
客户要做关系网络、反欺诈关系或图数据分析,图数据存储与分析,多模图分析,StellarDB,TDH 数据湖版,StellarDB承担图关系存储和分析；TDH可作为统一数据底座和跨模型分析入口,明确需要图遍历、关系网络或图可视化,仅关键词检索应选Scope，向量相似度检索应选Hippo,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7-9,待产品专家确认
客户要管理轨迹、位置和时空数据,时空轨迹数据分析,多模时空分析,Spacture,TDH 数据湖版,Spacture承担时空轨迹数据存储与分析,数据具有空间位置和时间维度,只有时间序列而没有空间维度时优先TimeLyre,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7,待产品专家确认
客户需要Kafka类消息和事件持久化,事件流存储,事件数据平台,Event Store,Slipstream,Event Store承担事件/消息存储；若还要流式加工则组合Slipstream,需求重点是事件消息持久化和消费,只做流计算而已有Kafka时不一定需要Event Store,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=40,待产品专家确认
客户需要Redis类键值访问和高性能缓存,键值存储与缓存,键值数据服务,KeyByte,Hyperbase,KeyByte承担键值数据库和高性能缓存；宽表点查需比较Hyperbase,访问模型是Key-Value或缓存,复杂分析和事务数据库场景不适用,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7;slide=40,待产品专家确认
客户要在统一平台关联结构化、搜索、图、时序等多种数据,多模型融合分析,多模数据底座,TDH 数据湖版,"Scope;StellarDB;TimeLyre;Hippo",TDH提供统一SQL与多模型关联能力，具体模型通常由相应组件承担,需要跨模型关联分析并接受按模型选配组件,不能因为TDH支持多模型就默认所有模型组件已采购,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=7-9;TDH&ArgoDB license功能点.xlsx#Inceptor!A3:H17,待产品专家确认
客户现有Impala加Kudu，想升级为统一架构,Impala加Kudu替代,湖仓集一体替代,TDH 湖仓集一体版,TDH 湖仓版,售卖资料明确将Impala+Kudu场景指向湖仓集一体版,既有批处理又有高并发分析和实时写入,只有湖仓融合而无集市/实时需求时可选湖仓版,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2-notes;slide=20,待产品专家确认
客户现有Hudi加Doris，希望减少数据搬运,Hudi加Doris替代,湖仓集一体替代,TDH 湖仓集一体版,"TDH 数据湖版;TDH 集市版",售卖资料首推湖仓集一体版，也允许数据湖版与集市版混合部署,希望统一架构和一表多用时首选湖仓集一体,必须保留独立集群或强隔离时可选择混合Edition,TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=2-notes;202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=8,待产品专家确认
客户同时有批处理和OLAP，但预算紧张,批处理与OLAP混合负载,混合Edition部署,TDH 湖仓集一体版,"TDH 数据湖版 + TDH 集市版;TDH 湖仓版 + TDH 集市版",资料优先推荐湖仓集一体版；价格压力下可按节点混合不同Edition,同时存在批量和OLAP负载并已确认部署版本支持Edition混部,未确认TDC及TDH版本支持混部时不得承诺,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=8;slide=13,待产品专家确认
新客户只提出传统批处理，销售想推荐数据工程版,传统离线批处理,数据湖起步,TDH 数据湖版,TDH 数据工程版,数据工程版被标为不推荐和计划退役；新客户默认从数据湖版评估,新项目且需要可持续的批处理和数据湖能力,只有明确存量兼容或特殊商务条件并经审批才考虑数据工程版,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=5-7;TDH & ArgoDB 售卖版本介绍20250717-v9.4.3.pptx#slide=25,待产品专家确认
老客户仍使用标准版、专业版、企业版或旗舰版，询问升级路径,历史Edition升级,TDH Edition升级,按现有Edition确定,"TDH 数据湖版;TDH 湖仓版;TDH 湖仓集一体版",历史Edition与新Edition存在不同升级路径，不能把旧名称直接当新Edition别名,必须识别当前Edition、TDH版本和目标业务,未核验当前EOS和2026升级政策时不得承诺费用或可升级性,202512TDH&TDC&TDS销售方案更新202512_v2_价格脱敏.pptx#slide=4-7;TDH 升级方案V1.5.1.docx,待产品专家确认
