标准名称,实体类型,所属对象,英文名或License Code,可识别别名,禁止混用,首版使用规则,资料来源,确认状态
KB Agent,组件,Knowledge Lodge,KB Agent,知识库智能体;建库智能体;知识加工智能体,Agent Buddy;通用聊天机器人,用于把分散资料加工成带版本、来源和测试集的上下文资产,LLMOps3：平台介绍-AI转型 .pptx#slide=8;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
Catalog,组件,AI Infra,Catalog,资产目录;AI资产目录;统一资产目录;资产治理目录,Discover;TDS Catalog,负责资产身份、Owner、标签、版本和治理元数据；与 TDS 同名能力需确认产品线,LLMOps3：平台介绍-AI转型 .pptx#slide=7;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
Discover,组件,AI Infra,Discover,资产发现;权限感知搜索;AI资产搜索,Catalog,负责按权限搜索、判断、申请和复用资产，不承担资产治理写入,LLMOps3：平台介绍-AI转型 .pptx#slide=7,待产品专家确认
Workbench,组件,Agent Go,Workbench,Agent原型工作台;智能体原型;应用工作台,AgentBox;Agent Buddy,用于组合目标、工具、输出、异常、证据和测试，形成可测试 Agent 原型,LLMOps3：平台介绍-AI转型 .pptx#slide=9,待产品专家确认
Coworker,交互入口,Agent Go,Coworker,协作入口;AI协作助手;多端协作入口,Agent Buddy;企业微信,作为发现和使用 AI 工作单元的交互入口；具体渠道支持按版本确认,LLMOps3：平台介绍-AI转型 .pptx#slide=5;slide=16,待产品专家确认
Connection,数据对象,Corpus Studio,Connection,数据连接;连接对象;数据源连接,Sync Job;Document Record,只保存身份、Endpoint、Secret 引用和安全范围，不等同于同步任务,LLMOps3：平台介绍-AI转型 .pptx#slide=6,待产品专家确认
Sync Job,数据对象,Corpus Studio,Sync Job,同步任务;增量同步任务;采集任务,Connection;Document Record,定义目录、过滤、增量、调度、重试和幂等，凭证应引用 Connection,LLMOps3：平台介绍-AI转型 .pptx#slide=6,待产品专家确认
Document Record,数据对象,Corpus Studio,Document Record,文件记录;文档记录;来源记录,Connection;Sync Job,记录来源、版本、哈希、解析状态和删除影响，支持追踪与重放,LLMOps3：平台介绍-AI转型 .pptx#slide=6,待产品专家确认
KnowledgeBase,知识资产,Knowledge Lodge,KnowledgeBase,知识库;知识服务;企业知识资产,KB Agent;TKH,KB Agent 负责构建和验证，KnowledgeBase 是发布与消费的知识资产,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28;LLMOps3：大模型时代下的AI中台.pptx#slide=10-11,待产品专家确认
Skills,资产类型,Agent Go,Skills,技能;能力包;Agent技能;工具能力包,Tools;Rules;Templates,表示可复用的专家工作流与工具能力包，不等同于底层工具本身,LLMOps3：AgentGo 智能体平台.pptx#slide=8;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
CodeBase,资产类型,Agent Go,CodeBase,代码资产;代码库;企业代码资产,KnowledgeBase;Skills,作为 Agent Buddy 可引用的工程资产，需受 Catalog、权限和版本治理,LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=28,待产品专家确认
Model Gateway,组件,TokenFactory,Model Gateway,模型网关;统一模型网关;大模型服务网关,API Gateway;数据服务网关,负责模型端点的标准接入、鉴权、路由、错误重试和调用治理,LLMOps3：平台介绍-AI转型 .pptx#slide=13;LLMOps3 上新：企业内部的Agent Engineering 是什么？LLMOps是如何做的？—260716（范豪钧）.pdf#page=21,待产品专家确认
Harness Engineering,方法,Agent Go,Harness Engineering,Harness工程;智能体工程护栏;工程控制系统,单一代码生成;Vibe Coding,表示 Guides 与 Sensors 形成的工程控制闭环，不作为独立产品售卖,LLMOps3：AgentGo 智能体平台.pptx#slide=3;slide=6,待产品专家确认
Vibe Coding,开发方式,Agent Go,Vibe Coding,VibeCoding;自然语言编程;对话式开发;浏览器编程,AgentBox;自动无审核上线,表示通过自然语言和浏览器快速构建应用；生产发布仍需测试、权限和门禁,LLMOps3：AgentGo 智能体平台.pptx#slide=5;slide=7;LLMOps3：平台介绍-AI转型 .pptx#slide=12,待产品专家确认
